Speaker;Time stamp;Word;Variant;;
Dreyfuss;0:13;oscar;r-full;;
Dreyfuss;0:14;oscar;r-full;;
Dreyfuss;0:15;award;r-full;;
Dreyfuss;0:15;winner;r-full;;
Dreyfuss;0:23;there;r-full;;
Dreyfuss;0:24;oscar;r-full;;
Dreyfuss;0:24;winners;r-full;;
Dreyfuss;0:25;here;r-full;;
Dreyfuss;0:26;there;r-full;;
Dreyfuss;0:26;are;r-full;;
Dreyfuss;0:27;there;r-full;;
Dreyfuss;0:27;are;r-full;;
Dreyfuss;0:32;actors;r-full;;
Dreyfuss;0:41;where;r-less;;
Dreyfuss;0:41;work;r-full;;
Dreyfuss;0:54;four;r-full;;
Dreyfuss;0:56;four;r-full;;
Dreyfuss;1:20;started;r-full;;
Dreyfuss;1:22;shark;r-full;;
Dreyfuss;1:28;later;r-full;;
Dreyfuss;1:31;shark;r-full;;
Dreyfuss;1:31;never;r-full;;
Dreyfuss;1:31;worked;r-full;;
Dreyfuss;1:41;September;r-full;;
Dreyfuss;1:50;there;r-full;;
Dreyfuss;1:52;Universal;r-full;;
Dreyfuss;2:00;after;unclear;;
Dreyfuss;2:20;sharks;r-full;;
Dreyfuss;2:25;shark;r-full;;
Dreyfuss;2:32;partner;r-full;;
Dreyfuss;2:35;turned;r-full;;
Dreyfuss;2:37;Tiger;r-full;;
Dreyfuss;2:38;shark;r-full;;
Dreyfuss;2:41;farther;r-full;;
Dreyfuss;2:41;farther;r-full;;
Dreyfuss;2:48;water;r-full;;
Sanders;0:07;are;r-less;;
Sanders;0:10;are;r-less;;
Sanders;0:11;afford;r-less;;
Sanders;0:14;dollars;r-less;;
Sanders;0:19;we’re;r-full;;
Sanders;0:22;afford;r-less;;
Sanders;0:22;doctor;r-less;;
Sanders;0:25;worst;r-full;;
Sanders;0:27;modern;r-full;;
Sanders;0:29;are;r-less;;
Sanders;0:37;their;r-less;;
Sanders;0:38;hunger;r-full;;
Sanders;0:46;over;unclear;;
Sanders;0:46;working;r-full;;
Sanders;0:48;are;r-less;;
Sanders;0:49;deeper;r-less;;
Sanders;0:49;deeper;r-full;;
Sanders;1:00;for;r-less;;
Sanders;1:06;or;r-full;;
Sanders;1:11;working;r-full;;
Sanders;1:21;dollar;r-less;;
Sanders;1:24;working;r-full;;
Sanders;1:28;or;r-less;;
Sanders;1:29;lower;r-less;;
Sanders;1:33;or;r-less;;
Sanders;1:33;lower;r-less;;
Sanders;1:35;dollar;r-less;;
Sanders;1:36;for;r-less;;
Sanders;1:37;their;r-less;;
Sanders;1:40;remember;r-less;;
Sanders;1:47;March;r-less;;
Sanders;1:49;Cares;r-less;;
Sanders;1:50;remember;r-less;;
Sanders;1:50;Cares;r-less;;
Sanders;1:53;for;r-less;;
Sanders;1:54;working;r-full;;
Sanders;1:55;terms;r-full;;
Sanders;1:59;dollars;r-less;;
Sanders;1:59;for;r-less;;
Sanders;2:01;dollars;r-less;;
Sanders;2:01;for;r-less;;
Sanders;2:03;dollars;r-less;;
Sanders;2:12;worse;r-full;;
Sanders;2:23;for;r-less;;
Sanders;2:24;first;r-full;;
Sanders;2:31;surging;r-full;;
Sanders;2:47;working;r-full;;
Sanders;2:49;over;r-less;;
Sanders;2:50;are;r-less;;
Sanders;2:54;their;r-less;;
Sanders;2:57;for;r-less;;
Sanders;2:57;their;r-less;;
Sanders;2:59;forward;r-less;;
Sanders;2:59;together;r-less;;
Sanders;3:00;sure;r-less;;
